Site,Annee,Tonnage_entrant,Heures_fonctionnement,Dispo_globale,Dispo_process,Taux_refus_sortant,Taux_valorisable,Capacite_reglementaire,Debit_nominal_t_h,Elec_kWh_par_t,GNR_L_par_t,Nb_postes,Nb_TOs,Nb_robots,Fin_contrat,Taux_utilisation_capacite
Nantes,2025,53818.0,3995.0,73.2,81.5,25.2,39.5,55000.0,13.2,48.8944,0.8882,,11,2,2034.0,97.9
Saran,2025,40446.0,4274.0,84.3,91.0,27.9,21.2,45000.0,8.8,33.9045,1.439,,7,1,2029.0,89.9
Le Havre,2025,42413.0,4373.0,85.0,86.9,31.0,,40000.0,9.7,48.5771,1.4642,,7,0,2032.0,106.0
Amiens,2025,34732.0,6040.0,86.8,91.8,27.0,,22000.0,5.5,66.7166,0.1728,,5,1,2027.0,157.9
Portes les Valences,2025,38149.0,3101.0,83.1,93.4,25.7,10.8,40000.0,12.4,62.1615,1.0223,,11,2,2027.0,95.4
Sevran,2025,19361.0,3608.0,89.4,89.6,38.9,,20000.0,5.1,80.0372,1.2086,,5,,,96.8
Paris 15,2025,33691.0,3202.0,88.6,88.6,25.3,,31500.0,10.0,52.3285,0.8281,,5,,,107.0
Chézy,2025,23643.0,3158.0,78.1,83.5,14.8,18.0,21000.0,6.9,48.5091,1.0236,,4,,2026.0,112.6
Bègles,2025,58910.0,3019.0,81.3,91.1,26.8,,65000.0,18.9,0.0,0.0,,14,3,2027.0,90.6
Montpellier,2025,30948.0,2515.0,71.7,73.2,39.3,,35000.0,11.6,0.0,0.0,,7,,2026.0,88.4
Millau,2025,22654.0,2359.0,80.9,85.2,27.89,,25000.0,8.7,0.0,0.0,,8,0,2028.0,90.6
