Site,Metrique,Periode,R2025,R2026,B2026
Nantes,CA,Q1,2280735.26,2819379.74,2770915.872638
Nantes,PNE,Q1,1729349.199999999,2263552.26,2276907.181238
Nantes,Marge_brute,Q1,286092.6600000006,485677.9200000013,514920.6357584712
Nantes,EBITDA,Q1,92450.94999999946,177679.1400000004,202644.6357584711
Nantes,EBIT,Q1,-3573.360000000743,78529.50000000044,117797.7316575156
Nantes,Personnel,Q1,-996807.72,-989915.76,-1073756.645493429
Nantes,Energie,Q1,0.0,-16853.28,-13932.0
Nantes,Maint_courante,Q1,-60278.50000000001,-45541.81,-26163.0
Nantes,Maint_oblig,Q1,-175000.0,-182499.86,-182499.0
Nantes,Traitement_sp,Q1,-10926.0,-18166.27,-19950.0
Nantes,Autres_couts,Q1,-200244.3199999998,-524897.3599999999,-445685.8999861
Nantes,CA,Q2,2336561.9700000007,2417964.3899999997,2279282.3031949997
Nantes,PNE,Q2,1754112.76,1714314.789999999,1833382.3921950012
Nantes,Marge_brute,Q2,252392.68999999994,-196017.49000000255,71395.84671547054
Nantes,EBITDA,Q2,59368.49999999974,-482656.04000000155,-240880.15328452864
Nantes,EBIT,Q2,-37441.50000000003,-582591.3900000016,-326512.76738548407
Nantes,Personnel,Q2,-1098524.03,-1093212.86,-1073756.645493429
Nantes,Energie,Q2,0.0,-17255.46,-13932.0
Nantes,Maint_courante,Q2,-27450.85,-41998.100000000006,-26163.0
Nantes,Maint_oblig,Q2,-175000.0,-191432.88,-182499.0
Nantes,Traitement_sp,Q2,-22326.39,-4301.5,-19950.0
Nantes,Autres_couts,Q2,-178418.8000000002,-562131.4800000002,-445685.8999861
Nantes,CA,S1,4617297.23,5237344.13,5050198.175833
Nantes,PNE,S1,3483461.959999999,3977867.049999999,4110289.573433001
Nantes,Marge_brute,S1,538485.3500000006,289660.42999999877,586316.4824739415
Nantes,EBITDA,S1,151819.4499999992,-304976.9000000012,-38235.51752605755
Nantes,EBIT,S1,-41014.86000000077,-504061.8900000012,-208715.0357279685
Nantes,Personnel,S1,-2095331.75,-2083128.62,-2147513.290986858
Nantes,Energie,S1,0.0,-34108.74,-27864.0
Nantes,Maint_courante,S1,-87729.35,-87539.91,-52326.0
Nantes,Maint_oblig,S1,-350000.0,-373932.74,-364998.0
Nantes,Traitement_sp,S1,-33252.39,-22467.77,-39900.0
Nantes,Autres_couts,S1,-378663.12,-1087028.84,-891371.7999722
Saran,CA,Q1,2137626.11,2026157.09,1816092.72
Saran,PNE,Q1,1764362.44,1336698.79,1549439.546
Saran,Marge_brute,Q1,413422.58999999985,27114.97999999998,115520.73601713101
Saran,EBITDA,Q1,248875.23,-167181.8300000005,-82278.26398286875
Saran,EBIT,Q1,-20607.65999999995,-297833.1600000004,-265589.5605837774
Saran,Personnel,Q1,-903918.66,-864489.3900000001,-914851.7540695227
Saran,Energie,Q1,-11635.0,-5104.959999999999,-7299.0
Saran,Maint_courante,Q1,-56213.66,-44298.8,-57342.65325647
Saran,Maint_oblig,Q1,-112484.77,-87508.92,-87435.0
Saran,Traitement_sp,Q1,,,
Saran,Autres_couts,Q1,-266274.98,-308003.1899999999,-366576.4026568762
Saran,CA,Q2,2305154.14,1807645.26,1775060.0599999998
Saran,PNE,Q2,1795734.6800000002,1430423.9899999988,1524662.4359999998
Saran,Marge_brute,Q2,401836.61000000127,283953.840000001,90743.62601713068
Saran,EBITDA,Q2,237297.45000000056,107133.55999999985,-107055.37398286865
Saran,EBIT,Q2,27375.020000000575,-20470.08000000019,-291725.80058377725
Saran,Personnel,Q2,-897711.2000000001,-715670.5999999999,-914851.7540695223
Saran,Energie,Q2,-9393.7,-30176.190000000002,-7299.0
Saran,Maint_courante,Q2,-70937.59,-24402.059999999998,-57342.65325647
Saran,Maint_oblig,Q2,-112348.6900000001,-87828.09000000001,-87435.0
Saran,Traitement_sp,Q2,,,
Saran,Autres_couts,Q2,-303094.1199999999,-287989.0300000001,-366576.4026568763
Saran,CA,S1,4442780.25,3833802.35,3591152.78
Saran,PNE,S1,3560097.12,2767122.779999999,3074101.982
Saran,Marge_brute,S1,815259.2000000011,311068.82000000123,206264.3620342617
Saran,EBITDA,S1,486172.6800000006,-60048.27000000066,-189333.6379657374
Saran,EBIT,S1,6767.360000000626,-318303.2400000006,-557315.3611675546
