Site,Code,Annee_PL,Tonnes_entrantes,CA,Prestations_service,Ventes_matieres,Revenus_travaux,Produits_tiers,Couts_ventes_cash,Sous_traitance_externe,Prestations_internes,Prestations_internes_Produit,Sous_traitance_construction,PNE,Couts_personnel,Maintenance_courante,Maintenance_obligatoire,Energie,Reactifs_eau,Traitement_sous_produits,Autres_couts_exploitation,Marge_Brute_Cash,Couts_commerciaux,Couts_GA,EBITDA,CDV_personnel_non_cash,Amortissements,Amortissement_IFRIC12,EBIT_Courant,Annee,Region,Management_Fees
Nantes,H66CAET281 - 9170-CS COUER-TRI,Réel 2023,41329.88,7835325.110000001,7747344.580000001,0.0,13799.71,74180.82,-1626831.47,-147722.07,-1465309.69,,-13799.71,6208493.640000001,-3696401.33,-244442.85,-533824.0399999999,-58622.25999999999,,-4580.670000000002,-1529025.24,141597.2500000001,-177634.48,-419633.7099999999,-612192.4000000004,-1454.110000000004,-289890.52,-80511.98999999999,-984049.02,2023,COU,-156521.46
Nantes,H66CAET281 - 9170-CS COUER-TRI,R 2024,51163.26,9639331.55,9541413.17,26430.21,0.0,71488.16999999998,-2271509.54,-323914.81,-1947594.73,,0.0,7367822.009999999,-4169763.56,-286081.1,-821223.3399999999,-44616.21,,-7004.949999999999,-1337925.89,701206.9599999995,-196067.52,-437985.3800000001,-238151.0800000005,-7014.259999999998,-286792.8900000001,-80511.99,-612470.2200000008,2024,COU,-305305.14
Nantes,H66CAET281 - 9170-CS COUER-TRI,Réel 2025,52376.85999999999,10061995.93,9967502.41,9833.7,0.0,84659.82,-2255711.95,-154616.54,-2101095.41,,0.0,7806283.98,-4377981.93,-161438.54,-1020864.82,-18204.26,,-79691.58,-671798.9299999996,1476303.919999999,-207965.55,-463568.26,480933.9399999985,-22438.58,-286792.88,-80511.99,91190.48999999833,2025,COU,-323836.17
Nantes,H66CAET281 - 9170-CS COUER-TRI,B 2026,53989.0,9774836.898411002,9708798.6237,5900.05,0.0,60138.224711,-1871658.7202,-36000.0,-1835658.7202,,0.0,7903178.178210999,-4289826.302407076,-104652.0,-729996.0,-55728.0,,-79800.0,-1782743.5999444,860432.2758595254,-169248.0,-824292.0,-388671.7241404746,-22128.37640382197,-325324.89,-34395.0,-770519.9905442966,2026,COU,-255564.0
Saran,"H66CORT282 - U487-TRI IF43-TRI,",Réel 2023,38519.894,8520315.5,8156622.140000001,,277366.91,86326.45,-1884732.13,-791588.7499999999,-815776.4700000001,,-277366.91,6635583.37,-3352209.870000001,-148497.36,-719842.3899999999,-21928.67,-753.27,0.0,-1058227.13,1334124.679999999,-182756.08,-429798.3700000001,569273.5099999987,25934.33,-478367.56,-345616.0,-228775.7200000014,2023,COU,-152296.72
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R 2024,39432.556,8233470.699999999,8033801.689999999,,54225.38,145443.63,-1193788.32,-30489.59999999999,-1109073.34,,-54225.38,7039682.38,-3526931.1,-178655.05,-909538.4199999999,-49877.67,-1287.14,-1072.45,-1015403.85,1356916.699999999,-140162.96,-313153.3599999999,685346.6799999991,-13367.61,-455527.3999999999,-345616.2600000001,-52271.69000000067,2024,COU,-218253.7
Saran,"H66CORT282 - U487-TRI IF43-TRI,",Réel 2025,40227.566,9073525.99,8213576.610000001,,693966.0199999999,165983.36,-1992474.22,-67440.49999999999,-1231067.7,,-693966.02,7081051.769999999,-3711796.160000001,-238373.4,-359771.04,-36202.99000000001,-445.9799999999997,-32.0,-1077636.66,1656793.539999998,-150990.91,-336657.7999999999,934030.9999999986,-14108.26,-482770.85,-345616.26,24585.40999999872,2025,COU,-235113.83
Saran,"H66CORT282 - U487-TRI IF43-TRI,",B 2026,34511.99999999999,7220796.0,7091328.0,,0.0,129468.0,-1026707.276,-98352.0,-928355.2759999998,,0.0,6194088.724,-3662143.869932258,-229370.61302588,-349740.0,-29196.0,-1656.0,0.0,-1466305.610627505,455676.6304143573,30276.0,-696072.0,-335519.3695856427,-19479.66640363438,-513489.4333333333,-208205.0,-1076693.46932261,2026,COU,-125400.0
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,Réel 2023,32575.321,8467089.17,8109298.279999999,357790.89,,,-2199922.59,-1937846.12,-146261.12,4354.8,,6267166.58,-2859532.12,-347661.4800000001,,-369260.5300000001,-5481.280000000001,0.0,-852695.8200000002,1832535.35,-271940.15,-350381.39,900723.0800000001,22028.47,-879037.5200000001,,43714.03000000009,2023,NNO,-309490.73
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R 2024,33471.06999999999,8852623.430000002,8712234.97,140388.46,,,-1783659.01,-1614165.94,-157286.4,4671.9,,7068964.419999998,-3322852.88,-168436.04,,-434236.97,-3605.97,1.66,-1020016.51,2113469.959999999,-349891.55,-381099.2,984316.5199999993,-2518.889999999999,-577994.82,,20192.80999999942,2024,NNO,-398162.6899999999
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,Réel 2025,34496.79,9211756.03,9154421.69,57334.34000000003,,,-3049162.89,-2315121.14,-784508.2999999999,3514.2,,6162593.14,-3476852.72,-264627.72,,-362537.85,-4348.08,-3976.0,-1214209.32,836041.4500000009,-439573.1099999999,-411994.1200000001,-492295.6299999991,11562.31,-429910.2500000001,,-1043271.169999999,2025,NNO,-476769.85
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,B 2026,0.0,5654000.000000001,5654000.000000001,0.0,,,-2274000.0,-2274000.0,0.0,0.0,,3380000.0,-1333876.40394,-131000.0,,-177000.0,0.0,0.0,-639000.0,1099123.596060001,-80952.0,-204828.0,689599.5960600008,-105000.0,-227397.7,,357201.8960600008,2026,NNO,-123744.0
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,Réel 2023,32944.18,5397919.890000001,5394091.890000001,3828.0,,,-119586.85,-119586.85,,,,5278333.040000001,-3150198.76,-327605.5999999999,-19810.7,-466479.8100000001,-11718.86,0.0,-1061438.08,235832.0100000005,-80190.48000000001,-376390.11,-458789.6599999992,14794.43,-40721.7,,-484716.9299999996,2023,IDF,-238041.08
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R 2024,32110.7,5870869.46,5874697.46,-3828.0,,,-183404.73,-183404.73,,,,5687464.73,-3252834.81,-216051.26,-385287.17,-361781.27,-16518.51,-810.0,-1204304.19,249877.5199999996,-111637.91,-321604.98,-458012.2900000002,-15680.0,0.0,,-473692.2900000002,2024,IDF,-274646.92
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,Réel 2025,33194.0,6127390.08,6127390.08,0.0,,,-227531.6,-227531.6,,,,5899858.48,-3542298.530000001,-210649.71,-414011.57,-364238.05,-21483.45,-10211.23,-1445422.87,-108456.9300000002,-132832.84,-296418.96,-779241.5700000005,-3090.0,0.0,,-782331.5700000005,2025,IDF,-241532.84
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,B 2026,32196.0,7576220.890000001,7576220.890000001,0.0,,,-102624.0,-102624.0,,,,7473596.890000001,-3607827.829229043,-194950.3068294267,-371440.0,-274364.0,-36040.0,-10000.0,-1818272.098187166,1124035.615754364,-93852.0,-610452.0,204019.6157543635,-21905.0,0.0,,182114.6157543635,2026,IDF,-215712.0
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,Réel 2023,36322.86500000001,9010146.570000002,8511978.870000003,498167.7,,0.0,-1399612.93,-808331.1,-668267.5000000001,146660.34,,7610533.640000001,-3564431.98,-454011.85,,-495608.9899999999,-11527.91,-68200.0,-980327.7900000003,2013310.580000002,0.0,-592199.3599999999,975807.7400000023,15295.0,-545717.6200000001,,-270719.6199999976,2023,NNO,-445303.48
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R 2024,40915.66,10148884.04,9578158.689999998,570454.31,,271.04,-1849994.48,-1060825.92,-833266.3800000001,187678.1500000001,,8298889.559999999,-3898523.439999999,-375517.29,,-454508.04,-9511.169999999998,-67153.22,-1788119.41,1694269.59,0.0,-589011.04,613765.2800000003,78293.08,-535015.18,,877043.1800000002,2024,NNO,-491493.2699999999
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,Réel 2025,41520.76,10292275.16,9837878.42,454396.7400000001,,0.0,-2043823.41,-1383924.79,-684750.5399999999,109915.43,,8248451.750000001,-3820996.39,-416822.86,,-315959.0699999999,-1299.370000000002,-69975.13,-1357842.82,2210913.510000001,0.0,-512321.32,1260683.710000001,-1663.0,-469493.23,,827527.4800000009,2025,NNO,-437908.48
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,B 2026,38081.03000000001,9275933.399999999,9275933.399999999,0.0,,0.0,-722012.0921,-392276.23,-329735.8621,0.0,,8553921.307899999,-4124053.150135586,-401594.8482119401,,-305515.8500000001,-9906.72,-67153.2,-1174498.276065573,2448084.743486904,-132828.0,-336036.0,1776216.743486904,-14206.34733486829,-400722.8300000001,,1361287.566152035,2026,NNO,-203004.0
Sevran,H66ISVT281 - U701-SEVRAN-TRI,Réel 2023,16952.92,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2023,IDF,
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R 2024,18424.18,4979334.280000001,4968653.380000001,10680.9,,,-266142.3199999999,-266142.3199999999,,,,4713191.960000001,-2658757.96,-241678.27,-217213.94,-261212.88,-10733.8,-2177.970000000001,-706335.6300000001,615081.5100000012,,-658089.97,-43008.45999999893,-239640.38,-20.0,,-282668.8399999988,2024,IDF,
Sevran,H66ISVT281 - U701-SEVRAN-TRI,Réel 2025,19276.41,5406495.379999999,5399283.859999999,7211.519999999999,,,-282635.05,-282635.05,,,,5123860.33,-2969054.169999999,-241076.47,-425333.3499999999,-307293.04,-7597.470000000001,-3.979039320256561e-13,-557438.76,595921.7499999998,,-679692.0,-83770.2500000002,28316.38,-1.0,,-55454.87000000031,2025,IDF,
Sevran,H66ISVT281 - U701-SEVRAN-TRI,B 2026,18173.08,5157064.08,5120167.0,9245.609999999999,,,-270859.0,-270859.0,,,,4886205.08,-3048206.502938259,-179283.9744998133,-315336.0,-197079.96,-9199.919999999998,0.0,-788498.5607404981,348600.1618214297,,-693144.0,-344543.8381785703,-19348.99999999999,0.0,,-363892.8381785703,2026,IDF,
Chézy,H66RSAL281 - U310-ALLIER-TRI,Réel 2023,22693.15,1852368.75,1852368.75,,0.0,,-100953.17,-2574.0,-98379.17,,,1751415.58,-1021208.38,-127105.71,-82282.44,-304332.83,-2871.06,-2866.8,-299124.3499999999,-88375.99000000014,-10654.39,-141917.07,-305647.5200000001,-3405.550000000001,-53851.13,,-362904.2000000001,2023,BARA,-64700.07000000001
Chézy,H66RSAL281 - U310-ALLIER-TRI,R 2024,22931.33,2305281.02,2305281.02,,0.0,,-125444.15,-12296.33,-113147.82,,,2179836.87,-1168696.18,-102492.1,-139204.23,-312777.45,-3422.5,56.98999999999819,-325659.8200000001,122144.4299999999,-13121.39,-155543.48,-136854.7100000001,-2019.98,-54071.63,,-244946.32,2024,BARA,-90334.27
Chézy,H66RSAL281 - U310-ALLIER-TRI,Réel 2025,23491.77,2170214.31,2170214.31,,0.0,,-114084.86,1719.68,-115370.44,,,2056129.45,-1109571.05,-127864.32,-225737.22,-269813.54,-4930.719999999999,0.0,-377429.89,-59217.28999999988,-20218.06,-182880.67,-356972.0499999998,-59243.32999999999,-38398.91,,-454614.2899999999,2025,BARA,-94656.03
Chézy,H66RSAL281 - U310-ALLIER-TRI,B 2026,3878.34,363970.46,363970.46,,0.0,,-21864.28,-1979.28,-19885.0,,,342106.1800000002,-237855.3798925837,-23429.92,-36404.48,-49779.3,-558.3399999999999,-138.18,-251995.9179647182,-258055.337857302,-4188.0,-18948.0,-289975.337857302,-1643.428955131812,-11128.1300003,,-302746.8968127338,2026,BARA,-8784.0
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,Réel 2023,36751.32999999999,5255522.13,5143856.13,1034.360000000001,110631.64,,-1411704.0,-1411351.4,,,-4.367848097097672e-12,3843818.129999999,-1941849.69,-367984.03,-283833.12,-622230.38,-4737.549999999999,-1641.0,-888803.12,-272269.93,-24879.11,-331391.43,-779622.0099999999,15081.0,-25113.9400000001,,-789654.95,2023,BARA,-151081.54
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R 2024,36711.834,5057331.059999999,5017865.639999999,9540.419999999998,29925.0,,-1516420.35,-1481540.38,,,-22999.99999999999,3540910.709999999,-2063613.42,-205764.22,-401475.8,-547961.0599999999,-6919.19,-3740.0,-630784.5900000001,-319347.5700000011,-25419.02,-301321.88,-821085.7900000011,-8782.99,-33766.9,,-863635.680000001,2024,BARA,-174997.32
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,Réel 2025,37799.433,6047548.100000001,6036523.280000001,6171.699999999999,4853.119999999999,,-1635668.94,-1630859.31,,,1.70530256582424e-13,4411879.159999999,-2083063.94,-95608.34000000001,-458252.02,-433413.04,-13124.4,0.0,-783129.7,544257.3299999996,-38862.73,-351529.38,-28080.63000000015,1195.959999999999,-44368.59,,-71253.2600000005,2025,BARA,-181945.85
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,B 2026,37710.40524400001,6240751.526300001,6227312.126300001,13439.4,0.0,,-1887325.20375,-1880886.81075,,,0.0,4353426.32255,-2165257.042675512,-206700.2696116218,-297000.0,-381636.347708,-6971.354480400001,0.0,-986823.5018823466,309037.8061921194,-71700.0,-324804.0,-238090.1938078806,-7091.999999999998,-34204.1914283,,-279386.3852361806,2026,BARA,-150624.0
Montpellier,H66SSMT283 - U446-DEMETER-TRI,Réel 2023,30138.379,4724603.64,4725346.109999999,0.0,-742.47,,-381714.59,-381714.59,,,,4342889.05,-3183189.09,-159959.32,-146276.26,-420627.28,-6697.08,-149.78,-825162.8400000001,-399172.6,,-427839.0,-827011.5999999999,-8038.0,-98803.18000000001,,-933567.7799999999,2023,SO,
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R 2024,28881.502,5235190.17,5233370.77,1819.4,0.0,,-632608.19,-632608.19,,,,4602581.98,-3454879.030000002,-148407.6,-375040.85,-389892.6200000001,3339.559999999999,-7303.1,-985752.7500000001,-761199.1699999999,,-500231.28,-1261430.45,-12994.63,-203182.95,,-1510279.73,2024,SO,
Montpellier,H66SSMT283 - U446-DEMETER-TRI,Réel 2025,30447.524,5653100.340000001,5651621.740000001,1478.6,0.0,,-494425.78,-494425.78,,,,5158674.560000001,-3235431.68,-472807.7200000001,-230461.04,-329757.1299999999,5635.84,-8574.86,-848538.58,38739.39000000004,,-478673.5200000001,-439934.1299999999,-25574.07,-209108.12,,-674616.3199999998,2025,SO,
Montpellier,H66SSMT283 - U446-DEMETER-TRI,B 2026,29400.64,5530154.36,5530154.36,0.0,0.0,,-274024.59,-274024.59,,,,5256129.77,-3224914.752273893,-436704.16022508,-225454.8,-318827.16,-8534.4,-9166.56,-1015022.18792628,17505.74957474688,,-661068.0,-643562.2504252532,-24687.01507118252,-95443.69,,-763692.9554964358,2026,SO,
Millau,H66SSMT284 - U446-ECOTRI-TRI,Réel 2023,20895.65,4217208.319999999,4217208.319999999,0.0,,,-88747.77,-88747.77,,,,4128460.55,-2484268.089999999,-109910.37,-77910.51999999999,-440212.48,-4580.29,0.0,-809612.21,201966.5900000001,,-99381.0,102585.5900000001,-4968.0,-61692.24999999999,,35925.34000000014,2023,SO,
Millau,H66SSMT284 - U446-ECOTRI-TRI,R 2024,21725.64,4593202.55,4593202.55,0.0,,,-85483.58,-85483.58,,,,4507718.97,-2354001.3,-87701.01000000008,-301576.78,-379472.66,-3936.16,-1893.12,-977001.13,375567.6400000001,,-116196.72,259370.92,-5719.370000000003,-87897.61,,165753.94,2024,SO,
Millau,H66SSMT284 - U446-ECOTRI-TRI,Réel 2025,24454.78,4933748.93,4933170.529999999,578.4,,,-83351.65,-83351.65,,,,4850397.28,-2376910.84,-196447.05,-322355.33,-290997.77,-4253.99,-1198.25,-1129776.9,507292.4599999998,,-135010.44,372282.0199999999,-9910.93,-97033.31999999999,,298453.3099999998,2025,SO,
Millau,H66SSMT284 - U446-ECOTRI-TRI,B 2026,26340.0,5555168.61,5555168.61,0.0,,,-167698.58256,-167698.58256,,,,5387470.027439999,-2788606.189351805,-160576.000004,-349340.8319999999,-378364.73936,-7279.1624796,0.0,-1193946.311404512,509356.7928400836,,-199704.0,309652.7928400836,-14327.98492881748,-95329.15,,199995.657911266,2026,SO,
